Game,Experiment,Iteration,Mode,Completed,Score,Moves

aliens,Control,1,MCTS,1,13,197

boulderdash,Control,1,MCTS,1,20,177

chase,Control,1,MCTS,1,0,169

frogs,Control,1,MCTS,1,0,5

missilecommand,Control,1,MCTS,0,0.000000,701

portals,Control,1,MCTS,1,0,153

sokoban,Control,1,MCTS,0,0.000000,701

survivezombies,Control,1,MCTS,1,4,185

aliens,Control,1,RANDOM,1,15.000000,242

boulderdash,Control,1,RANDOM,0,15.000000,700

chase,Control,1,RANDOM,0,1.000000,700

frogs,Control,1,RANDOM,1,0.000000,5

missilecommand,Control,1,RANDOM,0,0.000000,700

portals,Control,1,RANDOM,0,0.000000,700

sokoban,Control,1,RANDOM,0,0.000000,700

survivezombies,Control,1,RANDOM,1,-1.000000,589

avoarwkzqn,Experiment1,1,MCTS,1,0,1

evifdxwvmw,Experiment1,1,MCTS,1,0,1

evjnbigjmi,Experiment1,1,MCTS,0,0.000000,701

fcdcjqemxn,Experiment1,1,MCTS,0,0.000000,671

fiexdvkjeo,Experiment1,1,MCTS,1,4,1

gfbjimamvt,Experiment1,1,MCTS,1,0,433

oworivkxpz,Experiment1,1,MCTS,1,-3516,566

vujhlrlwvr,Experiment1,1,MCTS,1,0,674

avoarwkzqn,Experiment1,1,RANDOM,1,0.000000,1

evifdxwvmw,Experiment1,1,RANDOM,1,0.000000,1

evjnbigjmi,Experiment1,1,RANDOM,0,0.000000,700

fcdcjqemxn,Experiment1,1,RANDOM,0,0.000000,700

fiexdvkjeo,Experiment1,1,RANDOM,1,4.000000,1

gfbjimamvt,Experiment1,1,RANDOM,1,0.000000,433

oworivkxpz,Experiment1,1,RANDOM,1,-3516.000000,566

vujhlrlwvr,Experiment1,1,RANDOM,1,0.000000,674

hsawvlkbfs,Experiment1,2,MCTS,0,0.000000,503

iypkqdakwk,Experiment1,2,MCTS,1,0,1

jtrvbhgusr,Experiment1,2,MCTS,0,0.000000,541

jtzlqbrysw,Experiment1,2,MCTS,1,158,334

lvsgcuwbfy,Experiment1,2,MCTS,1,0,271

qoghggxznc,Experiment1,2,MCTS,1,3072,136

rhdqrhhlva,Experiment1,2,MCTS,0,-795.000000,503

vocsngaazo,Experiment1,2,MCTS,0,264085.000000,701

hsawvlkbfs,Experiment1,2,RANDOM,0,0.000000,700

iypkqdakwk,Experiment1,2,RANDOM,1,0.000000,1

jtrvbhgusr,Experiment1,2,RANDOM,0,0.000000,700

jtzlqbrysw,Experiment1,2,RANDOM,1,158.000000,334

lvsgcuwbfy,Experiment1,2,RANDOM,1,0.000000,271

qoghggxznc,Experiment1,2,RANDOM,1,3072.000000,136

rhdqrhhlva,Experiment1,2,RANDOM,0,-924.000000,700

vocsngaazo,Experiment1,2,RANDOM,0,263685.000000,700

elmqocavus,Experiment1,3,MCTS,1,0,96

fkkncgqoda,Experiment1,3,MCTS,0,0.000000,701

jpkfawstha,Experiment1,3,MCTS,1,42,1

mszkajtzlp,Experiment1,3,MCTS,0,0.000000,610

mzfgcfozwt,Experiment1,3,MCTS,1,0,341

prkvkyntlt,Experiment1,3,MCTS,1,0,411

tiglhehugc,Experiment1,3,MCTS,0,0.000000,701

xtleyrearo,Experiment1,3,MCTS,0,0.000000,667

elmqocavus,Experiment1,3,RANDOM,1,0.000000,96

fkkncgqoda,Experiment1,3,RANDOM,0,0.000000,700

jpkfawstha,Experiment1,3,RANDOM,1,42.000000,1

mszkajtzlp,Experiment1,3,RANDOM,0,0.000000,700

mzfgcfozwt,Experiment1,3,RANDOM,1,0.000000,341

prkvkyntlt,Experiment1,3,RANDOM,1,0.000000,411

tiglhehugc,Experiment1,3,RANDOM,0,0.000000,700

xtleyrearo,Experiment1,3,RANDOM,0,0.000000,700

droqslinwt,Experiment1,4,MCTS,0,-22776.000000,504

fzuzqyazlo,Experiment1,4,MCTS,0,0.000000,515

hddcyggmgx,Experiment1,4,MCTS,0,-170610.000000,504

icxsnhxerr,Experiment1,4,MCTS,0,-218310.000000,503

jnvaywvnrc,Experiment1,4,MCTS,1,0,1

loyvdkhkwz,Experiment1,4,MCTS,0,0.000000,502

xoyajpiehl,Experiment1,4,MCTS,1,0,1

yglkkjlizy,Experiment1,4,MCTS,0,-4035.000000,503

droqslinwt,Experiment1,4,RANDOM,0,-33998.000000,700

fzuzqyazlo,Experiment1,4,RANDOM,0,0.000000,700

hddcyggmgx,Experiment1,4,RANDOM,0,-248226.000000,700

icxsnhxerr,Experiment1,4,RANDOM,0,-305950.000000,700

jnvaywvnrc,Experiment1,4,RANDOM,1,0.000000,1

loyvdkhkwz,Experiment1,4,RANDOM,0,0.000000,700

xoyajpiehl,Experiment1,4,RANDOM,1,0.000000,1

yglkkjlizy,Experiment1,4,RANDOM,0,-4185.000000,700

avlrvpbkjj,Experiment1,5,MCTS,1,0,1

cnlmqyqdeq,Experiment1,5,MCTS,0,0.000000,701

cnyorepaop,Experiment1,5,MCTS,0,-874.000000,201

qldxszswho,Experiment1,5,MCTS,0,0.000000,701

wgneldqzww,Experiment1,5,MCTS,0,-43000.000000,701

wnyplzdqaz,Experiment1,5,MCTS,0,0.000000,701

xulhijkhgx,Experiment1,5,MCTS,0,755.000000,701

yuxxxqekwu,Experiment1,5,MCTS,1,413,281

avlrvpbkjj,Experiment1,5,RANDOM,1,0.000000,1

cnlmqyqdeq,Experiment1,5,RANDOM,0,0.000000,500

cnyorepaop,Experiment1,5,RANDOM,0,-1742.000000,500

